Expression ID	Animation Frames	Animation Duration (Miliseconds)
0	1	500
1	1	500
2	2	500
3	3	500
4	4	500
5	5	500
6	6	500
7	7	500
8	8	500
9	9	500
10	10	500
11	11	500
12	12	500
13	13	500
14	14	500
15	15	500
16	16	500
17	17	500
18	18	500
19	19	500
20	20	500
21	21	125
22	22	125
23	23	125
24	24	125
25	27,26,25,26,27,28,29,28,27	1125
27	32,33,32,31,30,31	750
29	21	500
30	21	500
31	21	500
33	1,34,35,36,35,34	1500
34	37	500
35	38	500
36	39	500
37	40	1000
38	41	1000
39	42	1000
40	43	1000
41	44	1000
42	45	1000
43	46	1000
44	47	1000
45	48	1000
46	49	500
47	50	1000
48	51	1000
49	52	1000
50	53	1000
51	54	1000
52	55	1000
53	56	500
54	21	500
55	22	500
56	23	500
57	24	500
58	5,19,18	1500
