	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	n/u	Peasant	n/u
Staff	B	B	B	B	B	B	B	B	-	-	-	-	B	B	B	B	E	E	E	E	M	M	M	M	G	G	B	B	B	B	B	B	B	B	-	-	-	-	M	G	-	-	M	M	M	M	M	M	-	-
Sword	E	E	E	E	-	-	-	-	M	M	-	-	-	-	-	-	M	M	G	G	E	E	E	E	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-
Dagger	E	E	E	E	-	-	-	-	M	M	-	-	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	G	G	E	E	M	G	E	E	E	E	E	E	-	-
Axe	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	G	-	-	-	-	E	E	E	E	M	M	G	G	-	-	-	-	M	M	E	E	-	-	-	-	-	-	-	-
Spear	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	M	M	E	E	E	E	E	E	E	E	E	E	E	E	-	-	-	-	E	E	-	-	-	-	-	-	-	-	-	-
Bow	M	M	G	G	B	B	B	B	M	G	-	-	B	B	B	B	E	E	E	E	E	E	B	B	B	B	E	E	E	E	M	M	M	M	E	E	E	E	B	B	B	B	B	B	B	B	B	B	B	B
Mace	-	-	-	-	M	M	M	M	B	B	-	-	E	E	E	E	M	M	M	M	M	M	-	-	-	-	M	M	G	G	-	-	-	-	E	E	E	E	M	G	E	E	-	-	-	-	-	-	-	-
Blaster	G	G	G	G	G	G	G	G	G	G	-	-	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	B	B
Shield	-	-	-	-	M	M	M	M	E	E	-	-	E	E	E	E	M	M	G	G	-	-	-	-	-	-	M	M	G	G	E	E	E	E	B	B	B	B	-	-	M	M	-	-	-	-	-	-	-	-
LeatherArmor	M	M	M	M	E	E	E	E	M	M	-	-	E	E	E	E	M	M	M	M	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	G	G	M	G	M	M	E	E	E	E	E	E	B	B
