2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text	SkillOffers																																									
1	1	Weapon Shop	1	6	True Mettle	Kervin	Blacksmith	2109	0	0	0	1.5	1		7			6	18	0	0	0	0	Sword,Bow																																									
2	2	Weapon Shop	2	36	Keen Edge	Reaver	Blacksmith	2130	0	0	0	1.5	1		14			6	18	0	0	0	0	Sword,Dagger,Mace																																									
3	3	Weapon Shop	3	20	Polished Steel	Kashue	Blacksmith	2119	0	0	0	2.5	1		14			6	18	0	0	0	0	Sword,Dagger,Axe																																									
4	4	Weapon Shop	5	49	Lance's Spears	Lance	Blacksmith	2139	0	0	0	3	1.5		21			6	18	0	0	0	0	Spear,Bow																																									
5	5	Weapon Shop	6	63	Blooded Daggers and Blades	Eldrich	Blacksmith	2146	0	0	0	3	2		21			6	18	0	0	0	0	Sword,Dagger																																									
6	6	Weapon Shop	35	36	Ayzar's Axes	Ayzar	Blacksmith	2130	0	0	0	4	2		28			6	18	0	0	0	0	Axe,Mace																																									
7	7	Weapon Shop	13	86	Custom Cutlass	Critias	Blacksmith	2177	0	0	0	4	2		28			6	18	0	0	0	0	Sword																																									
8	8	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
9	9	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
10	10	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
11	11	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
12	12	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
13	13	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
14	14	Weapon Shop	0	0	Placeholder	Placeholder	Blacksmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
15	1	Armor Shop	1	7	The Tannery	Lishnak	Armorsmith	2110	0	0	0	1.5	1		7			6	18	0	0	0	0	LeatherArmor,Shield																																									
16	2	Armor Shop	2	50	The Polished Shield	Walvis	Armorsmith	2140	0	0	0	1.5	1		14			6	18	0	0	0	0	Shield,ChainArmor																																									
17	3	Armor Shop	3	21	Armory	Chaynal	Armorsmith	2128	0	0	0	2.5	1		14			6	18	0	0	0	0	LeatherArmor,ChainArmor,PlateArmor																																									
18	4	Armor Shop	5	50	Plated Protection	Balfour	Armorsmith	2140	0	0	0	3	1.5		21			6	18	0	0	0	0	PlateArmor,ChainArmor,Shield																																									
19	5	Armor Shop	6	64	Supple Leather	Prospero	Armorsmith	2147	0	0	0	3	1.5		21			6	18	0	0	0	0	LeatherArmor																																									
20	6	Armor Shop	35	37	Linked Mail	Delios	Armorsmith	2131	0	0	0	4	2		28			6	18	0	0	0	0	ChainArmor																																									
21	7	Armor Shop	13	87	Karr Battlegear	Karr	Armorsmith	2173	0	0	0	4	2		28			6	18	0	0	0	0	PlateArmor,Shield																																									
22	8	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
23	9	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
24	10	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
25	11	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
26	12	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
27	13	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
28	14	Armor Shop	0	0	Placeholder	Placeholder	Armorsmith	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
29	1	Magic Shop	1	9	Fearsome Fetishes	Zith	Magician	2112	0	0	0	1.5	1		7			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
30	2	Magic Shop	2	66	Needful Things	Jed	Magician	2149	0	0	0	1.5	1		14			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
31	3	Magic Shop	3	23	Arcane Items	Allanya	Magician	2102	0	0	0	2	1		14			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
32	4	Magic Shop	5	51	Wards and Pendants	Korxius	Magician	2141	0	0	0	3	1		21			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
