Random Item Generation By Treasure Level 1 - 6								
								
Item #	Pic File	1	2	3	4	5	6	
								
1	item001	5	5	2	0	0	0	Longsword
2	item002	0	10	5	2	0	0	Trollish War Sword
3	item003	0	0	10	5	2	0	Dark Elven Longsword
4	item004	0	0	0	10	5	0	Templar's Sword
5	item005	0	0	0	0	10	10	Champion's Sword
6	item006	5	5	2	0	0	0	Two-Handed Sword
7	item007	0	10	5	2	0	0	Dark Elven Bastard Sword
8	item008	0	0	10	5	2	0	Minotaur Battlesword
9	item009	0	0	0	10	5	0	Dragonning Blade
10	item010	0	0	0	0	10	10	Headsman's Reaver
11	item011	5	5	2	0	0	0	Iron Broadsword
12	item012	0	10	5	2	0	0	Trollish Claymore
13	item013	0	0	10	5	2	0	Lizardman Broadsword
14	item014	0	0	0	10	5	0	Knightly Broadsword
15	item015	0	0	0	0	10	10	Archangel Broadsword
16	item016	5	5	2	0	0	0	Rusty Cutlass
17	item017	0	10	5	2	0	0	Goblin Scimitar
18	item018	0	0	10	5	2	0	Regnan Cutlass
19	item019	0	0	0	10	5	0	Regnan Falchion
20	item020	0	0	0	0	10	10	Captain's Cutlass
21	item021	5	5	2	0	0	0	Crude Dagger
22	item022	0	10	5	2	0	0	Crystal Dagger
23	item023	0	0	10	5	2	0	Merchantman's Dagger
24	item024	0	0	0	10	5	0	Master's Dagger
25	item025	0	0	0	0	10	10	Fanged Blade
26	item026	5	5	2	0	0	0	Long Dagger
27	item027	0	10	5	2	0	0	Alvarian Poignard
28	item028	0	0	10	5	2	0	Regnan Fighting Knife
29	item030	0	0	0	10	5	0	Twilight Kris
30	item029	0	0	0	0	10	10	Dueling Long Dagger
31	item031	5	5	2	0	0	0	Stone Axe
32	item032	0	10	5	2	0	0	Battle Hatchet
33	item033	0	0	10	5	2	0	Battleaxe
34	item034	0	0	0	10	5	0	Dwarven Battleaxe
35	item035	0	0	0	0	10	10	Minotaur Battleaxe
36	item036	5	5	2	0	0	0	Two-Handed Axe
37	item038	0	10	5	2	0	0	Footman's Axe
38	item037	0	0	10	5	2	0	Minotaur War Axe
39	item039	0	0	0	10	5	0	Elite Minotaur Axe
40	item040	0	0	0	0	10	10	Minotaur Herdsman Axe
