		Armors	Settings	t0		t1		t2		t3		t4									
Id	Item id	Notes		X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
1	84	Leather Jerkin		47	78	59	93	44	108	0	0										
2	85	Hardened Leather Vest		30	84	60	95	45	111	0	0										
3	86	Caravaner's Leather		29	72	57	86	40	101	0	0										
4	87	Regnan Leather		29	78	47	90	29	107	0	0										
5	88	Alvarian Leather		46	78	42	88	38	103	0	0										
6	89	Rusty Mail Vest		61	82	61	98	46	111	0	0										
7	90	Steel Chainmail		55	82	60	98	45	116	0	0										
8	91	Minotaur Chainmail		45	76	58	91	46	107	0	0										
9	92	Siertal Chainmail		49	76	52	90	36	100	0	0										
10	93	Erudine Chainmail		49	76	43	84	28	105	0	0										
11	94	Rusty Breastplate		62	81	52	94	41	115	0	0										
12	95	Banded Plate		55	79	51	91	39	109	0	0										
13	96	Minotaur Plate		46	73	47	90	34	109	0	0										
14	97	Dark Knight Plate		50	60	54	65	39	96	0	0										
15	98	Dragoning Plate		53	70	48	82	39	100	0	0										
16	513	Serendine's Preservation		29	57	47	70	27	100	0	0										
17	514	Glomenmail		29	68	49	86	27	103	0	0										
18	515	Supreme Plate		30	69	52	82	35	107	0	0										
19	533	Last Stage Cuirass		29	57	47	70	27	100	0	0										
20	868	Leather Armor		29	81	47	90	44	115	0	0										
21	869	Studded Leather		29	81	50	93	44	115	0	0										
22	870	Officer's Leather		0	0	0	0	0	0	0	0										
23	871	Regnan Leather		0	0	0	0	0	0	0	0										
24	872	Royal Leather		0	0	0	0	0	0	0	0										
25	873	Chain Mail		0	0	0	0	0	0	0	0										
26	874	Steel Chain Mail		0	0	0	0	0	0	0	0										
27	875	Fine Chain Mail		0	0	0	0	0	0	0	0										
28	876	Resplendent Chain Mail		0	0	0	0	0	0	0	0										
29	877	Golden Chain Mail		0	0	0	0	0	0	0	0										
30	878	Plate Armor		0	0	0	0	0	0	0	0										
31	879	Splendid Plate Armor		0	0	0	0	0	0	0	0										
32	880	Noble Plate Armor		0	0	0	0	0	0	0	0										
33	1306	Governor's Armor		39	75	53	93	41	108	35	96										
34	1307	Yoruba		31	73	54	93	37	108	35	95										
35	1318	Hareck's Leather		38	80	58	85	25	113	23	92										
36	1335	Elven Chainmail		44	75	59	97	40	110	38	94										
37	1668	Leather Armor		0	0	0	0	0	0	0	0										
38	1669	Studded Leather		0	0	0	0	0	0	0	0										
39	1670	Enchanted Leather		0	0	0	0	0	0	0	0										
40	1671	Dragon Leather		0	0	0	0	0	0	0	0										
41	1672	Imperial Leather		0	0	0	0	0	0	0	0										
42	1673	Chain Mail		0	0	0	0	0	0	0	0										
43	1674	Steel Chain Mail		0	0	0	0	0	0	0	0										
44	1675	Noble Chain Mail		0	0	0	0	0	0	0	0										
45	1676	Royal Chain Mail		0	0	0	0	0	0	0	0										
46	1677	Majestic Chain Mail		0	0	0	0	0	0	0	0										
47	1678	Plate Armor		0	0	0	0	0	0	0	0										
48	1679	Steel Plate Armor		0	0	0	0	0	0	0	0										
49	1680	Golden Plate Armor		0	0	0	0	0	0	0	0										
50	2026	Galahad		43	81	52	93	45	115	41	98										
51	2027	Pellinore		28	83	58	94	44	117	40	101										
52	2041	Apollo		43	81	52	93	45	115	41	98										
53	2042	Zeus		28	83	58	94	44	117	40	101										
																					
		Helms	Complex																		
1	109	Helm	x	87	28	72	41	74	44	77	42										
2	110	Lizardman Helm	x	79	24	65	35	66	43	64	30										
3	111	Full Helm	x	85	27	74	45	55	47	68	41										
4	112	Battle Helm	x	57	8	49	25	52	48	43	13										
5	113	Dragon Helm	x	77	18	62	28	57	41	50	18										
6	114	Cloth Hat		85	26	72	42	58	38	78	40										
7	115	Festival Hat		83	30	68	47	59	26	70	50										
8	116	Merchantman's Hat		88	30	72	42	65	55	78	38										
9	520	Drogg's Helm	x	77	6	68	26	64	47	61	17										
10	521	Crown of Final Dominion	x	81	0	67	-5	0	0	77	12										
11	536	Lucky Hat		78	14	66	30	54	52	74	35										
12	891	Horned Helm	x	0	0	0	0	0	0	0	0										
13	892	Conscript's Helm	x	0	0	0	0	0	0	0	0										
14	893	Full Helm	x	0	0	0	0	0	0	0	0										
15	894	Phynaxian Helm	x	0	0	0	0	0	0	0	0										
16	895	Mogred Helm	x	0	0	0	0	0	0	0	0										
17	896	Peasant Hat	x	0	0	0	0	0	0	0	0										
18	897	Traveller's Hat	x	0	0	0	0	0	0	0	0										
19	898	Fancy Hat	x	0	0	0	0	0	0	0	0										
20	899	Crown	x	0	0	0	0	0	0	0	0										
21	900	Noble Crown	x	0	0	0	0	0	0	0	0										
22	901	Regal Crown	x	0	0	0	0	0	0	0	0										
23	1323	Taledon's Helm	x	0	0	0	0	0	0	0	0										
24	1324	Scholar's Cap	x	0	0	0	0	0	0	0	0										
25	1325	Phynaxian Crown	x	0	0	0	0	0	0	0	0										
26	1334	Mind's Eye	x	0	0	0	0	0	0	0	0										
27	1346	Shadow's Mask	x	92	46	78	62	0	0	80	68										
28	1691	Helm	x	0	0	0	0	0	0	0	0										
29	1692	Steel Helm	x	0	0	0	0	0	0	0	0										
30	1693	Guardian Helm	x	0	0	0	0	0	0	0	0										
31	1694	Defender Helm	x	0	0	0	0	0	0	0	0										
32	1695	Angelic Helm	x	0	0	0	0	0	0	0	0										
33	1696	Cloth Hat	x	0	0	0	0	0	0	0	0										
34	1697	Fancy Hat	x	0	0	0	0	0	0	0	0										
35	1698	Wizard Cap	x	0	0	0	0	0	0	0	0										
36	1699	Crown	x	0	0	0	0	0	0	0	0										
37	1700	Regal Crown	x	0	0	0	0	0	0	0	0										
38	1701	Almighty Crown	x	0	0	0	0	0	0	0	0										
39	2029	Arthur	x	0	0	0	0	0	0	0	0										
40	2044	Odin	x	0	0	0	0	0	0	0	0										
																					
		Belts	Complex																		
1	117	Leather Belt		64	147	68	151	55	194	58	182										
2	118	Sturdy Belt		66	147	70	154	57	194	55	178										
3	119	Wyvern Leather Belt		63	146	71	155	54	193	52	185										
4	120	Steel Belt		67	138	70	154	58	190	58	175										
5	121	Artificer's Belt		65	151	72	153	58	198	55	183										
6	537	Berserker Belt		66	149	71	150	57	196	56	172										
7	902	Leather Belt		0	0	0	0	0	0	0	0										
8	903	Fine Belt		0	0	0	0	0	0	0	0										
9	904	Strong Belt		0	0	0	0	0	0	0	0										
10	905	Silver Belt		0	0	0	0	0	0	0	0										
11	906	Gilded Belt		0	0	0	0	0	0	0	0										
12	1326	Titan's Belt		0	0	0	0	0	0	0	0										
13	1337	Hero's Belt		66	149	71	150	57	196	56	172										
14	1702	Leather Belt		0	0	0	0	0	0	0	0										
15	1703	Mercenary Belt		0	0	0	0	0	0	0	0										
16	1704	Vanguard Belt		0	0	0	0	0	0	0	0										
17	1705	Warlord Belt		0	0	0	0	0	0	0	0										
18	1706	Sovereign Belt		0	0	0	0	0	0	0	0										
																					
		Boots	n/u																		
1	132	Walking Boots		46	261	75	260	75	260	46	290										
2	133	Hardened Leather Boots		40	255	73	260	65	255	44	278										
3	134	Regnan Boots		31	250	64	255	21	288	45	269										
4	135	Alvarian Boots		30	250	64	257	21	276	45	268										
5	136	Dragonning Boots		26	241	57	242	19	266	45	250										
6	518	Herald's Boots		41	254	70	250	17	318	47	272										
7	917	Leather Boots		0	0	0	0	0	0	0	0										
8	918	Steel Plated Boots		0	0	0	0	0	0	0	0										
9	919	Ranger Boots		0	0	0	0	0	0	0	0										
10	920	Knight's Boots		0	0	0	0	0	0	0	0										
11	921	Paladin Boots		0	0	0	0	0	0	0	0										
12	1314	Seven League Boots		0	0	0	0	0	0	0	0										
13	1331	Hermes' Sandals		0	0	0	0	0	0	0	0										
14	1439	Winged Sandals		0	0	0	0	0	0	0	0										
15	1717	Leather Boots		0	0	0	0	0	0	0	0										
16	1718	Steel Boots		0	0	0	0	0	0	0	0										
17	1719	Armored Boots		0	0	0	0	0	0	0	0										
18	1720	Sterling Boots		0	0	0	0	0	0	0	0										
19	1721	Ultimate Boots		0	0	0	0	0	0	0	0										
20	2031	Lucius		0	0	0	0	0	0	0	0										
21	2046	Hermes		0	0	0	0	0	0	0	0										
																					
		Cloaks	Complex											Collars							
1	122	Traveler's Cloak		51	79	47	90	40	120	41	94			84	80	75	90	68	120	61	99
2	123	Moon Temple Cloak		54	81	54	91	40	119	39	94			77	81	67	91	64	116	61	99
3	124	Alvar Cloak		56	82	60	91	40	115	44	103			76	76	69	91	65	113	65	99
4	125	Necromancer Cloak		49	80	55	93	40	119	44	97			80	73	72	83	65	114	65	95
5	126	Vampire Cloak	x	57	82	54	95	40	123	44	88			64	57	51	64	48	104	47	78
6	522	Archangel Wings		51	78	53	94	40	120	41	94			81	64	72	76	68	105	61	84
7	907	Leather Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
8	908	Huntsman's Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
9	909	Ranger's Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
10	910	Elegant Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
11	911	Glorious Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
12	1327	Twilight		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
13	1332	Cloak of the Sheep		51	79	43	93	40	120	41	94			72	78	55	89	58	115	58	94
14	1349	Sun Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
15	1350	Moon Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
16	1352	Vampire's Cape		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
17	1707	Leather Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
18	1708	Phantom Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
19	1709	Elven Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
20	1710	Cardinal Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
21	1711	Doom's Day Cloak		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0
