Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
1	Lizardman Peasant	Lizardmen Male (Peasant) A	4	13	0	5	1d3	1	N	Short	Wimp	4	200	100	0	0	Phys	3D4+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Lizardman Farmer	Lizardmen Male (Peasant) B	6	21	0	5	1d3	1	N	Short	Wimp	4	215	90	0	0	Phys	3D4+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Lizardman Villager	Lizardmen Male (Peasant) C	8	30	0	5	1d3	1	N	Short	Wimp	4	230	80	0	0	Phys	3D4+6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Lizardman Soldier	Lizardmen Warrior A	4	13	0	56	1d6	1	N	Med	Normal	2	155	100	0	0	Phys	3D4	0	10	Phys	4D2	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Lizardman Sergeant	Lizardmen Warrior B	6	21	0	96	1d6	1	N	Med	Normal	2	175	90	0	0	Phys	3D4+2	0	15	Phys	4D2+1	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Lizardman Captain	Lizardmen Warrior C	8	30	0	144	1d6	1	N	Short	Aggress	2	195	80	0	0	Phys	3D4+4	0	25	Phys	4D2+4	Arrow	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Young Couatl	Couatl (winged snake) A	1	3	0	11	5%2d5+L1GEM	1	N	Free	Aggress	3	225	80	0	Poison3x1	Phys	3D2	0	10	Fire	3D2	Fire	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0
8	Couatl	Couatl (winged snake) B	2	6	0	24	10%2d5+L1GEM	1	N	Free	Aggress	3	245	70	0	Poison3x2	Phys	3D2+3	0	10	Water	3D2+3	Water	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0
9	Winged Serpent	Couatl (winged snake) C	4	13	0	56	15%2d5+L1GEM	1	N	Free	Aggress	3	275	60	0	Poison3x3	Phys	3D2+6	0	0	0	0	0	10	Lightning Bolt,N,1	0	0	0	0	5	0	0	0	0	0	0	5	0
10	Regnan Bandit	Pirate Warrior Male A	18	86	0	504	20%5D30+L2Sword	1	N	Long	Aggress	2	220	90	0	BrkItem	Phys	4D10+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Regnan Pirate	Pirate Warrior Male B	31	189	0	1271	20%7D30+L3Sword	1	N	Long	Aggress	2	250	80	0	BrkArmor	Phys	6D10+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Regnan Brigadier	Pirate Warrior Male C	50	400	0	3000	20%5D30+L4Sword	1	N	Long	Aggress	2	280	70	0	BrkWeapon	Phys	8D10+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Regnan Crossbowman	Pirate Crossbowman (Female) A	18	86	0	504	15%5D30+L2Bow	1	N	Long	Aggress	3	160	100	0	BrkItem	Phys	6D4+6	0	35	Phys	6D2+6	ArrowF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Regnan Arbalester	Pirate Crossbowman (Female) B	31	189	0	1271	15%7D30+L3Bow	1	N	Long	Aggress	3	170	100	0	BrkArmor	Phys	7D4+7	0	45	Phys	7D2+7	ArrowF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Regnan Lieutenant	Pirate Crossbowman (Female) C	50	400	0	3000	15%5D30+L4Bow	1	N	Long	Aggress	3	180	90	0	BrkWeapon	Phys	8D4+8	0	55	Phys	8D2+8	ArrowF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Regnan Sorcerer	Pirate Mage Male A	25	137	0	875	20%5D30+L2Wand	1	N	Med	Aggress	3	60	90	0	0	Phys	3D6+3	Air	0	0	0	0	20	Lightning Bolt,M,7	0	0	0	25	0	0	10	10	10	0	0	0	0
17	Regnan Battlemage	Pirate Mage Male B	50	400	0	3000	20%7D30+L3Wand	1	N	Med	Aggress	3	80	80	0	0	Phys	4d6+4	Water	0	0	0	0	25	Poison Spray,M,7	0	0	0	0	25	0	10	10	10	0	0	0	0
18	Regnan Archmage	Pirate Mage Male C	75	787	0	6375	20%5D30+L4Wand	1	N	Short	Aggress	3	90	70	0	0	Phys	5D6+5	Fire	0	0	0	0	35	Firebolt,M,9	0	0	25	0	0	0	10	10	10	0	0	0	0
19	Dark Elf Peasant	Dark Elf Pesant Male A	1	3	3	11	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Dark Elf Peasant	Dark Elf Pesant Male B	5	17	5	75	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Dark Elf Peasant	Dark Elf Pesant Male C	8	30	6	144	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Dark Elf Peasant	Dark Elf Pesant Female A	1	3	3	11	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Dark Elf Peasant	Dark Elf Pesant Female B	5	17	5	75	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Dark Elf Peasant	Dark Elf Pesant Female C	8	30	6	144	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Dark Elven Warrior	Dark Elf Warrior A	15	67	15	375	15%5D8+L2Sword	1	N	Long	Aggress	2	240	80	0	0	Phys	4D4+4	0	0	0	0	0	10	Lightning Bolt,M,9	0	0	5	5	5	5	5	5	5	0	0	0	0
26	Dark Elven Defender	Dark Elf Warrior B	27	153	20	999	15%5D8+L3Sword	1	N	Long	Aggress	2	260	70	0	0	Phys	5D4+6	0	0	0	0	0	15	Poison Spray,M,7	0	0	10	10	10	10	10	10	10	0	0	0	0
27	Dark Elven Crusader	Dark Elf Warrior C	39	269	28	1911	15%5D8+L4Sword	1	N	Med	Aggress	2	280	60	0	0	Phys	6D4+8	0	0	0	0	0	20	Fireball,M,7	0	0	15	15	15	15	15	15	15	0	0	0	0
28	Ogre Peasant	Ogre Pesant Male A	2	6	3	24	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
29	Ogre Peasant	Ogre Pesant Male B	7	25	5	119	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
30	Ogre Peasant	Ogre Pesant Male C	11	45	6	231	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
31	Ogre Brawler	Ogre Warrior A	15	67	18	375	20%10d5+L1Club	1	N	Long	Suicidal	2	280	110	0	Brkweapon	Phys	3D3+6	0	0	0	0	0	0	0	0	0	5	5	5	5	0	0	5	0	0	10	0
32	Ogre Warrior	Ogre Warrior B	20	100	24	600	25%10d7+L2Club	1	N	Long	Suicidal	2	300	100	0	Brkweapon	Phys	3D3+10	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	0	0	15	0
33	Ogre Warleader	Ogre Warrior C	28	162	30	1064	35%10d9+L3Club	1	N	Med	Suicidal	2	310	90	0	Brkweapon	Phys	3D3+14	0	0	0	0	0	0	0	0	0	20	20	20	20	5	0	20	0	0	25	0
34	Animalist	Wererat Human Form Male A	10	40	0	200	4d8	1	N	Short	Aggress	2	250	120	0	Disease1	Phys	4D6+2	0	0	0	0	0	15	Poison Spray,N,4	0	0	5	5	5	5	5	5	5	0	0	0	0
35	Shapeshifter	Wererat Human Form Male B	13	55	0	299	15%5d8+L1Sword	1	N	Short	Aggress	2	270	110	0	Disease2	Phys	4D6+4	0	0	0	0	0	25	Poison Spray,N,4	0	0	10	10	10	10	10	10	10	0	0	0	0
36	Lycanthrope	Wererat Human Form Male C	17	79	0	459	25%6d8+L2Sword	1	N	Short	Aggress	2	290	100	0	Disease3	Phys	4D6+6	0	0	0	0	0	35	Poison Spray,E,4	0	0	15	15	15	15	15	15	15	0	0	0	0
37	Ratman	Wererat Ratman Form Male A	8	30	0	144	3d3	1	N	Short	Aggress	2	270	110	0	Disease1	Phys	5D4+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Wererat	Wererat Ratman Form Male B	11	45	0	231	35%3d3+L1Ring	1	N	Short	Aggress	2	290	100	0	Disease2	Phys	5D4+4	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	0	0	0	0
39	Greater Wererat	Wererat Ratman Form Male C	15	67	0	375	45%3d3+L2Ring	1	N	Short	Suicidal	2	300	90	0	Disease3	Phys	5D4+6	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	0	0
40	Bestial Animalist	Wererat Rat Form Male A	13	55	0	299	4d6	1	N	Short	Aggress	2	300	80	0	Disease1	Phys	4D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
