#;Greeting 1;Greeting 2;Notes;Owner
1;I'm glad I found you! Of all the other guards, you are the only one I've seen! Regnan Pirates attack the island. We must inform the caravan master, Dadeross. He's visiting the village chieftain. Find him! I'll return to the wagons to guard them.;Have you spoken with Dadeross?  What are we to do now?;;S'ton
2;Greetings Journeyman!  I have been speaking with Brekish Onefang about the predicament that we find ourselves in. The Clan Leader may know of a way to get off these islands and return to Ravenshore;Have you found a way off the islands?  Are the waters safe for us to sail back to Ravenshore?;;Dadeross
3;Welcome to Dagger Wound Island, Journeyman of Alvar.  I am Brekish Onefang, Clan Leader.  I wish I was greeting you during better times.;;;
;;;;
"The mountain of fire has caused serious damage to my village and its people.  Many buildings have been damaged, and the bridges that connect the smaller islands to the main island have been destroyed!  Many people are missing or stranded on these smaller islands!  We must help them!""";Have the Portals been fixed?  My stranded people are able to return to the safety of the village here on the main island?;;Brekish Onefang;
4;You must tell the Merchants of Alvar of the Regnan raid on Dagger Wound Island!  They must send help!;We are in debt to you!  Not only did you save my stranded people, but you also returned to stop the Regnan assault upon my island!;;Brekish Onefang
5;What?  I don't have time to talk now!  I need to pack some things and leave!;Be quick with your business. I must prepare to escape these islands!;;Fredrick Talimere
6;Aren't you with the Merchant Caravan from Alvar?  I need your help!;The mountain of fire will surely destroy us!;;Rohtnax
7;It's the end of the world!  The Mountain of Fire will consume us all!;It's the end of the world!  The Mountain of Fire will consume us all!;;Pascella Tisk
8;What are you doing here? Get my letter to Fellmoon!;What are you doing here? Get my letter to Fellmoon!;;
9;Welcome aboard!  May you have smooth, swift seas!;Welcome aboard!  May you have smooth, swift seas!;;
10;Welcome to the Ravenshore guildhouse of the Merchants of Alvar. I am Elgar Fellmoon. How may I help you?;Yes?;;Elgar Fellmoon NPC 3
11;Have you done as I've asked of you?;Have you done as I've asked of you?;;Elgar Fellmoon NPC 3
12;Okay…you've beaten my guards. Truce.;;;
;;;;
"I'm Arion Hunter. I suppose you could call this all my operation. What do you want?""";What is it now?;;Arion Hunter;
13;Halt! None may pass into the inner chambers unless accompanied by a guild member.;Halt! None may pass into the inner chambers unless accompanied by a guild member.;;Necromancer Guild Guard
14;Welcome to the Guildhouse of the Merchants of Alvar. I am Bastian Loudrin, the high guildmaster. From here we run the Alvarian trade empire.;Welcome back to the Guildhouse of the Merchants of Alvar.;;Bastian Loudrin
15;We have identified those we believe would join an alliance to stand against the crisis. These are: the Minotaurs of Ravage Roaming, the Clerics of the Temple of the Sun in Murmurwoods, the Dragons of Garrote Gorge, the Necromancers' Guild in Shadowspire, and Charles Quixote's Dragon hunting camp in Garrote Gorge.;;;
;;;;
Now none of us believe that you can get all of them to work together, but with us and the Trolls already with the alliance, it should suffice if three of the five join us.;;;;
;;;;
