#;Text;Notes;Owner;;
1;My fellow Journeyman, we face grave times.  Hopefully our Master will find a way for us to leave this troubled region and return safely to Alvar.  I would not wish to end my life here, even though it is the place of my birth.;;S'ton;;
2;Dadeross led us here to trade with the Lizardman Clan of Onefang for their tobersk fruit.  He has gone to talk with Brekish Onefang, the village leader.  Perhaps you should look for him?;;S'ton;;
3;The Regnan Pirates are a threat to the economy and free travel in Jadame.  Very few boats ply the sea, for fear of being sunk…or worse!  When in Ravenshore, I did hear rumors of a small band of smugglers who have been working beneath the notice of the pirates.  I wonder how they do that!;;S'ton;;
4;"It is as I have read in the prophecy of the Unmaking! ""...and a Mountain of Fire shall rise from the sea, like a wound drawn by the quick stroke of a dagger…"".";;;;
;;;;;
"You must find a way off of these islands, if not for the caravan, at least for yourself!  Someone must take news of what has happened here to the Merchant Council in Alvar!  They must know of the cataclysm and of the Regnan raid!""";;Dadeross;;;
5;The pirates from the dread Island of Regna are using the cataclysm and the confusion created by it to aid them in overrunning the islands.  If they conquer Dagger Wound, they can use it as an outpost for direct raids on Ravenshore!  The Merchant Council in Alvar must be notified!  You must find a way to the boats and tell them!;;Dadeross;;
6;It will take several boats to ferry the entire caravan back to Ravenshore, or many trips by one boat.  This cannot be done until the waters around the Dagger Wound Islands are free from Regnan Pirates.  It is best that you return to Alvar and tell the Council of the Regnan attack.  They will send help to rescue us!;;Dadeross;;
7;In the middle of the night the ground shook!  Flaming rocks dropped from the sky!  Many of my people were hurt or killed!  Great damage was done to the village.  The bridges that allowed travel between the smaller islands and the main island were destroyed.  We found ourselves stuck on the main island, unable to reach those on the smaller islands who may be injured.  Many family members and friends are missing.  We cannot reach the islands with the boat docks, and thus we are unable to send to Ravenshore for help. I do not even know if any boats survived!;;Brekish Onefang;;
8;In time long past, my people used the Portals of Stone to travel quickly from island to island, but we have lost the knowledge of their operation. Only the pair connecting the village to the southwestern fields still functions. Now that the bridges are gone, we're trapped on the island!;;Brekish Onefang;;
9;A Cleric, by the name of Fredrick Talimere, has been living with us for the last few years.  He has been studying the Portals of Stone and the outer ruins of the Abandoned Temple.  Maybe he has the knowledge to get the Portals working again!  Find him and see if he will help!;;Brekish Onefang;;
10;"Ah yes…""the portals."" I have been studying them and the lost culture that built them for years.";;;;
;;;;;
"They were built by the civilization that had its day long before the Lizardmen came to inhabit these islands. They were a means of instantaneous travel between the islands. Sadly, the power stones needed to operate them are in short supply.""";;Fredrick Talimere;;;
11;The first night of the mountain of fire, I went to the beach to see if I could see anything of its eruption.  I cannot be certain, but as the volcano continued to erupt, I thought I saw Earth Elementals roaming the lava encrusted base of the mountain.;;Fredrick Talimere;;
12;So Clanleader Onefang gave you that power stone he was holding onto! It will power the portal on the southwestern tip of the island. To use it, hold an image of the stone in your mind as you step onto the portal.;;Fredrick Talimere;;
13;The ruins of a temple built by the lost civilization lies on the island just northwest of the main island. I have not explored it however, for dangerous reptiles have made it their lair. I do suspect that the temple leads to an underwater tunnel which surfaces near the boat docks on the northwest island.;;;;
;;;;;
"With the bridges out, that tunnel may be the only way to reach the docks and a boat to safety!""";;Fredrick Talimere;;;
