Name	Id	Radius	Height	Invisible	Untouchable	Temporary	LifetimeInSFT	NoPickup	NoGravity	InterceptAction	Bounce	TrailParticles	TrailFire	TrailLine	SFTGroup	LifeTime	Speed	ParticleR	ParticleG	ParticleB	ParticleA
null	0	32	32	-	-	-	-	-	-	-	-	-	-	-	null	0	0	0	0	0	0
longsword	1	64	64	-	-	-	-	-	-	-	x	-	-	-	obj001	0	0	0	0	0	0
2 handed sword	2	64	64	-	-	-	-	-	-	-	x	-	-	-	obj006	0	0	0	0	0	0
Broadsword	3	64	64	-	-	-	-	-	-	-	x	-	-	-	obj009	0	0	0	0	0	0
Cutlass	4	64	64	-	-	-	-	-	-	-	x	-	-	-	obj012	0	0	0	0	0	0
Dagger	5	64	64	-	-	-	-	-	-	-	x	-	-	-	obj016	0	0	0	0	0	0
Long Dagger	6	64	64	-	-	-	-	-	-	-	x	-	-	-	obj020	0	0	0	0	0	0
axe	7	64	64	-	-	-	-	-	-	-	x	-	-	-	obj023	0	0	0	0	0	0
Two handed axe	8	64	64	-	-	-	-	-	-	-	x	-	-	-	obj028	0	0	0	0	0	0
Spear	9	64	64	-	-	-	-	-	-	-	x	-	-	-	obj031	0	0	0	0	0	0
Halberd	10	64	64	-	-	-	-	-	-	-	x	-	-	-	obj036	0	0	0	0	0	0
Trident	11	64	64	-	-	-	-	-	-	-	x	-	-	-	obj039	0	0	0	0	0	0
Long bow	12	64	64	-	-	-	-	-	-	-	x	-	-	-	obj042	0	0	0	0	0	0
Crossbow	13	64	64	-	-	-	-	-	-	-	x	-	-	-	obj047	0	0	0	0	0	0
Mace	14	64	64	-	-	-	-	-	-	-	x	-	-	-	obj050	0	0	0	0	0	0
Hammer	15	64	64	-	-	-	-	-	-	-	x	-	-	-	obj055	0	0	0	0	0	0
Club	16	64	64	-	-	-	-	-	-	-	x	-	-	-	obj058	0	0	0	0	0	0
Staff	17	64	64	-	-	-	-	-	-	-	x	-	-	-	obj061	0	0	0	0	0	0
Blaster Pistol	18	64	64	-	-	-	-	-	-	-	x	-	-	-	obj064	0	0	0	0	0	0
Blaster Rifle	19	64	64	-	-	-	-	-	-	-	x	-	-	-	obj065	0	0	0	0	0	0
Leather Armor	20	64	64	-	-	-	-	-	-	-	x	-	-	-	obj066	0	0	0	0	0	0
Chainmail 	21	64	64	-	-	-	-	-	-	-	x	-	-	-	obj071	0	0	0	0	0	0
Plate mail 	22	64	64	-	-	-	-	-	-	-	x	-	-	-	obj076	0	0	0	0	0	0
Large Shield	23	64	64	-	-	-	-	-	-	-	x	-	-	-	obj079	0	0	0	0	0	0
Small Shield 	24	64	64	-	-	-	-	-	-	-	x	-	-	-	obj084	0	0	0	0	0	0
Helm	25	64	64	-	-	-	-	-	-	-	x	-	-	-	obj090	0	0	0	0	0	0
Hat	26	64	64	-	-	-	-	-	-	-	x	-	-	-	obj094	0	0	0	0	0	0
Crown	27	64	64	-	-	-	-	-	-	-	x	-	-	-	obj097	0	0	0	0	0	0
Belt	28	64	64	-	-	-	-	-	-	-	x	-	-	-	obj100	0	0	0	0	0	0
Cloak	29	64	64	-	-	-	-	-	-	-	x	-	-	-	obj105	0	0	0	0	0	0
Gauntlets	30	64	64	-	-	-	-	-	-	-	x	-	-	-	obj111	0	0	0	0	0	0
Boots	31	64	64	-	-	-	-	-	-	-	x	-	-	-	obj115	0	0	0	0	0	0
Ring	32	64	64	-	-	-	-	-	-	-	x	-	-	-	obj120	0	0	0	0	0	0
Amulet	33	64	64	-	-	-	-	-	-	-	x	-	-	-	obj131	0	0	0	0	0	0
Wand	34	64	64	-	-	-	-	-	-	-	x	-	-	-	obj135	0	0	0	0	0	0
Phirna Root	35	64	64	-	-	-	-	-	-	-	x	-	-	-	obj140	0	0	0	0	0	0
Widowsweep Berries	36	64	64	-	-	-	-	-	-	-	x	-	-	-	obj141	0	0	0	0	0	0
Mushrooms	37	64	64	-	-	-	-	-	-	-	x	-	-	-	obj142	0	0	0	0	0	0
Poppy Pod	38	64	64	-	-	-	-	-	-	-	x	-	-	-	obj143	0	0	0	0	0	0
Datura	39	64	64	-	-	-	-	-	-	-	x	-	-	-	obj144	0	0	0	0	0	0
Phial of Gog Blood	40	64	64	-	-	-	-	-	-	-	x	-	-	-	obj145	0	0	0	0	0	0
Ruby	41	64	64	-	-	-	-	-	-	-	x	-	-	-	obj146	0	0	0	0	0	0
Wolf's Eye	42	64	64	-	-	-	-	-	-	-	x	-	-	-	obj147	0	0	0	0	0	0
Meteor Fragment	43	64	64	-	-	-	-	-	-	-	x	-	-	-	obj148	0	0	0	0	0	0
Phoenix Feather	44	64	64	-	-	-	-	-	-	-	x	-	-	-	obj247	0	0	0	0	0	0
Moonstone	45	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Toadstool	46	64	64	-	-	-	-	-	-	-	x	-	-	-	obj151	0	0	0	0	0	0
Sulfur	47	64	64	-	-	-	-	-	-	-	x	-	-	-	obj152	0	0	0	0	0	0
Thornbark	48	64	64	-	-	-	-	-	-	-	x	-	-	-	obj153	0	0	0	0	0	0
Garnet	49	64	64	-	-	-	-	-	-	-	x	-	-	-	obj154	0	0	0	0	0	0
Unicorn Horn	50	64	64	-	-	-	-	-	-	-	x	-	-	-	obj155	0	0	0	0	0	0
Obsidian	51	64	64	-	-	-	-	-	-	-	x	-	-	-	obj156	0	0	0	0	0	0
Mercury	52	64	64	-	-	-	-	-	-	-	x	-	-	-	obj157	0	0	0	0	0	0
Wasp Wing	53	64	64	-	-	-	-	-	-	-	x	-	-	-	obj158	0	0	0	0	0	0
Philosopher's Stone	54	64	64	-	-	-	-	-	-	-	x	-	-	-	obj159	0	0	0	0	0	0
Blue Potion	55	64	64	-	-	-	-	-	-	-	x	-	-	-	obj160	0	0	0	0	0	0
Red Potion	56	64	64	-	-	-	-	-	-	-	x	-	-	-	obj161	0	0	0	0	0	0
Yellow Potion	57	64	64	-	-	-	-	-	-	-	x	-	-	-	obj162	0	0	0	0	0	0
White Potion	58	64	64	-	-	-	-	-	-	-	x	-	-	-	obj163	0	0	0	0	0	0
Gray Potion	59	64	64	-	-	-	-	-	-	-	x	-	-	-	obj164	0	0	0	0	0	0
Black Potion	60	64	64	-	-	-	-	-	-	-	x	-	-	-	obj165	0	0	0	0	0	0
Purple Potion	61	64	64	-	-	-	-	-	-	-	x	-	-	-	obj166	0	0	0	0	0	0
Green Potion	62	64	64	-	-	-	-	-	-	-	x	-	-	-	obj167	0	0	0	0	0	0
Orange Potion	63	64	64	-	-	-	-	-	-	-	x	-	-	-	obj168	0	0	0	0	0	0
Red and Orange Potion	64	64	64	-	-	-	-	-	-	-	x	-	-	-	obj169	0	0	0	0	0	0
Red and Purple Potion	65	64	64	-	-	-	-	-	-	-	x	-	-	-	obj170	0	0	0	0	0	0
Red and Green Potion	66	64	64	-	-	-	-	-	-	-	x	-	-	-	obj171	0	0	0	0	0	0
Blue and Orange Potion	67	64	64	-	-	-	-	-	-	-	x	-	-	-	obj172	0	0	0	0	0	0
Blue and Purple Potion	68	64	64	-	-	-	-	-	-	-	x	-	-	-	obj173	0	0	0	0	0	0
Blue and Green Potion	69	64	64	-	-	-	-	-	-	-	x	-	-	-	obj174	0	0	0	0	0	0
Yellow and Orange Potion	70	64	64	-	-	-	-	-	-	-	x	-	-	-	obj175	0	0	0	0	0	0
Yellow and Purple Potion	71	64	64	-	-	-	-	-	-	-	x	-	-	-	obj176	0	0	0	0	0	0
Yellow and Green Potion	72	64	64	-	-	-	-	-	-	-	x	-	-	-	obj177	0	0	0	0	0	0
Orange and Purple Potion	73	64	64	-	-	-	-	-	-	-	x	-	-	-	obj178	0	0	0	0	0	0
Purple and Green Potion	74	64	64	-	-	-	-	-	-	-	x	-	-	-	obj179	0	0	0	0	0	0
Orange and Green Potion	75	64	64	-	-	-	-	-	-	-	x	-	-	-	obj180	0	0	0	0	0	0
Empty Potion Bottle	76	64	64	-	-	-	-	-	-	-	x	-	-	-	obj181	0	0	0	0	0	0
Scroll	77	64	64	-	-	-	-	-	-	-	x	-	-	-	obj182	0	0	0	0	0	0
Spellbook	78	64	64	-	-	-	-	-	-	-	x	-	-	-	obj190	0	0	0	0	0	0
Gem	79	64	64	-	-	-	-	-	-	-	x	-	-	-	obj195	0	0	0	0	0	0
Key	80	64	64	-	-	-	-	-	-	-	x	-	-	-	obj205	0	0	0	0	0	0
Will O' Wisp Heart	81	64	64	-	-	-	-	-	-	-	x	-	-	-	obj133	0	0	0	0	0	0
Dragon Turtle Fang	82	64	64	-	-	-	-	-	-	-	x	-	-	-	obj134	0	0	0	0	0	0
small pile of coins	83	64	64	-	-	-	-	-	-	-	x	-	-	-	obj187	0	0	0	0	0	0
medium pile of coins	84	64	64	-	-	-	-	-	-	-	x	-	-	-	obj188	0	0	0	0	0	0
large pile of coins	85	64	64	-	-	-	-	-	-	-	x	-	-	-	obj189	0	0	0	0	0	0
letter	86	64	64	-	-	-	-	-	-	-	x	-	-	-	obj251	0	0	0	0	0	0
Urn of Ashes	87	64	64	-	-	-	-	-	-	-	x	-	-	-	obj259	0	0	0	0	0	0
Nightshade Brazier	88	64	64	-	-	-	-	-	-	-	x	-	-	-	obj272	0	0	0	0	0	0
Dragon Leader's Egg	89	64	64	-	-	-	-	-	-	-	x	-	-	-	obj285	0	0	0	0	0	0
Heart of Fire	90	64	64	-	-	-	-	-	-	-	x	-	-	-	obj261	0	0	0	0	0	0
Heart of Water	91	64	64	-	-	-	-	-	-	-	x	-	-	-	obj262	0	0	0	0	0	0
Heart of Air	92	64	64	-	-	-	-	-	-	-	x	-	-	-	obj263	0	0	0	0	0	0
Heart of Earth	93	64	64	-	-	-	-	-	-	-	x	-	-	-	obj264	0	0	0	0	0	0
Conflux Key	94	64	64	-	-	-	-	-	-	-	x	-	-	-	obj250	0	0	0	0	0	0
Lost Book of Kehl	95	64	64	-	-	-	-	-	-	-	x	-	-	-	obj294	0	0	0	0	0	0
Sarcophagus of Korbu	96	64	64	-	-	-	-	-	-	-	x	-	-	-	obj265	0	0	0	0	0	0
Puzzle Box	97	64	64	-	-	-	-	-	-	-	x	-	-	-	obj361	0	0	0	0	0	0
Vial of Grave Earth	98	64	64	-	-	-	-	-	-	-	x	-	-	-	obj268	0	0	0	0	0	0
Drum of Victory	99	64	64	-	-	-	-	-	-	-	x	-	-	-	obj269	0	0	0	0	0	0
Remains of Korbu	100	64	64	-	-	-	-	-	-	-	x	-	-	-	obj109	0	0	0	0	0	0
Lich Jar	101	64	64	-	-	-	-	-	-	-	x	-	-	-	obj276	0	0	0	0	0	0
Ring of Keys	102	64	64	-	-	-	-	-	-	-	x	-	-	-	obj277	0	0	0	0	0	0
Idol of the Snake	103	64	64	-	-	-	-	-	-	-	x	-	-	-	obj278	0	0	0	0	0	0
Big Brass Ring	104	64	64	-	-	-	-	-	-	-	x	-	-	-	obj279	0	0	0	0	0	0
Naga Hide	105	64	64	-	-	-	-	-	-	-	x	-	-	-	obj280	0	0	0	0	0	0
Dire Wolf Pelt	106	64	64	-	-	-	-	-	-	-	x	-	-	-	obj281	0	0	0	0	0	0
Flute	107	64	64	-	-	-	-	-	-	-	x	-	-	-	obj282	0	0	0	0	0	0
Royal Wasp Jelly	108	64	64	-	-	-	-	-	-	-	x	-	-	-	obj283	0	0	0	0	0	0
Dragonbane Flower	109	64	64	-	-	-	-	-	-	-	x	-	-	-	obj287	0	0	0	0	0	0
Bone of Doom	110	64	64	-	-	-	-	-	-	-	x	-	-	-	obj271	0	0	0	0	0	0
Druid Circlet of Power	111	64	64	-	-	-	-	-	-	-	x	-	-	-	obj310	0	0	0	0	0	0
Wyvern Horn	112	64	64	-	-	-	-	-	-	-	x	-	-	-	obj311	0	0	0	0	0	0
Pirate Hat	113	64	64	-	-	-	-	-	-	-	x	-	-	-	obj275	0	0	0	0	0	0
Tobersk Fruit	114	64	64	-	-	-	-	-	-	-	x	-	-	-	obj295	0	0	0	0	0	0
Tobersk Pulp	115	64	64	-	-	-	-	-	-	-	x	-	-	-	obj296	0	0	0	0	0	0
Tobersk Brandy	116	64	64	-	-	-	-	-	-	-	x	-	-	-	obj297	0	0	0	0	0	0
Heartwood of Jadame	117	64	64	-	-	-	-	-	-	-	x	-	-	-	obj298	0	0	0	0	0	0
Enchanted Amulets	118	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Dried Sunfish	119	64	64	-	-	-	-	-	-	-	x	-	-	-	obj300	0	0	0	0	0	0
Silver Dust of the Sea	120	64	64	-	-	-	-	-	-	-	x	-	-	-	obj301	0	0	0	0	0	0
Ground Wyvern Horn	121	64	64	-	-	-	-	-	-	-	x	-	-	-	obj302	0	0	0	0	0	0
Ogre Ear	122	64	64	-	-	-	-	-	-	-	x	-	-	-	obj303	0	0	0	0	0	0
Wasp Stingers	123	64	64	-	-	-	-	-	-	-	x	-	-	-	obj304	0	0	0	0	0	0
Green Apple	124	64	64	-	-	-	-	-	-	-	x	-	-	-	obj305	0	0	0	0	0	0
Horseshoe	125	64	64	-	-	-	-	-	-	-	x	-	-	-	obj284	0	0	0	0	0	0
Enchanted Amulet	126	64	64	-	-	-	-	-	-	-	x	-	-	-	obj306	0	0	0	0	0	0
Wheel of Frelandeau	127	64	64	-	-	-	-	-	-	-	x	-	-	-	obj307	0	0	0	0	0	0
Log of Eldenbrie	128	64	64	-	-	-	-	-	-	-	x	-	-	-	obj308	0	0	0	0	0	0
Ball of Dunduck	129	64	64	-	-	-	-	-	-	-	x	-	-	-	obj309	0	0	0	0	0	0
Anointed Herb Potion	130	64	64	-	-	-	-	-	-	-	x	-	-	-	obj270	0	0	0	0	0	0
Iron-laced ore	131	64	64	-	-	-	-	-	-	-	x	-	-	-	obj353	0	0	0	0	0	0
Siertal-laced ore	132	64	64	-	-	-	-	-	-	-	x	-	-	-	obj354	0	0	0	0	0	0
Phylt-laced ore	133	64	64	-	-	-	-	-	-	-	x	-	-	-	obj355	0	0	0	0	0	0
Kergar-laced ore	134	64	64	-	-	-	-	-	-	-	x	-	-	-	obj356	0	0	0	0	0	0
