// Name	Label	Type	Radius	Height	Lifetime	Speed	Attributes -
null	null	0	32	32	0	0	0
longsword	obj001	1	64	64	0	0	bounce
2 handed sword	obj006	2	64	64	0	0	bounce
Broadsword	obj009	3	64	64	0	0	bounce
Cutlass	obj012	4	64	64	0	0	bounce
Dagger	obj016	5	64	64	0	0	bounce
Long Dagger	obj020	6	64	64	0	0	bounce
axe	obj023	7	64	64	0	0	bounce
Two handed axe	obj028	8	64	64	0	0	bounce
Spear	obj031	9	64	64	0	0	bounce
Halberd	obj036	10	64	64	0	0	bounce
Trident	obj039	11	64	64	0	0	bounce
Long bow	obj042	12	64	64	0	0	bounce
Crossbow	obj047	13	64	64	0	0	bounce
Mace	obj050	14	64	64	0	0	bounce
Hammer	obj055	15	64	64	0	0	bounce
Club	obj058	16	64	64	0	0	bounce
Staff	obj061	17	64	64	0	0	bounce
Blaster Pistol	obj064	18	64	64	0	0	bounce
Blaster Rifle	obj065	19	64	64	0	0	bounce
Leather Armor	obj066	20	64	64	0	0	bounce
Chainmail 	obj071	21	64	64	0	0	bounce
Plate mail 	obj076	22	64	64	0	0	bounce
Large Shield	obj079	23	64	64	0	0	bounce
Small Shield 	obj084	24	64	64	0	0	bounce
Helm	obj090	25	64	64	0	0	bounce
Hat	obj094	26	64	64	0	0	bounce
Crown	obj097	27	64	64	0	0	bounce
Belt	obj100	28	64	64	0	0	bounce
Cloak	obj105	29	64	64	0	0	bounce
Gauntlets	obj111	30	64	64	0	0	bounce
Boots	obj115	31	64	64	0	0	bounce
Ring	obj120	32	64	64	0	0	bounce
Amulet	obj131	33	64	64	0	0	bounce
Wand	obj135	34	64	64	0	0	bounce
Phirna Root	obj140	35	64	64	0	0	bounce
Widowsweep Berries	obj141	36	64	64	0	0	bounce
Mushrooms	obj142	37	64	64	0	0	bounce
Poppy Pod	obj143	38	64	64	0	0	bounce
Datura	obj144	39	64	64	0	0	bounce
Phial of Gog Blood	obj145	40	64	64	0	0	bounce
Ruby	obj146	41	64	64	0	0	bounce
Wolf's Eye	obj147	42	64	64	0	0	bounce
Meteor Fragment	obj148	43	64	64	0	0	bounce
Phoenix Feather	obj247	44	64	64	0	0	bounce
Moonstone	null	45	64	64	0	0	bounce
Toadstool	obj151	46	64	64	0	0	bounce
Sulfur	obj152	47	64	64	0	0	bounce
Thornbark	obj153	48	64	64	0	0	bounce
Garnet	obj154	49	64	64	0	0	bounce
Unicorn Horn	obj155	50	64	64	0	0	bounce
Obsidian	obj156	51	64	64	0	0	bounce
Mercury	obj157	52	64	64	0	0	bounce
Wasp Wing	obj158	53	64	64	0	0	bounce
Philosopher's Stone	obj159	54	64	64	0	0	bounce
Blue Potion	obj160	55	64	64	0	0	bounce
Red Potion	obj161	56	64	64	0	0	bounce
Yellow Potion	obj162	57	64	64	0	0	bounce
White Potion	obj163	58	64	64	0	0	bounce
Gray Potion	obj164	59	64	64	0	0	bounce
Black Potion	obj165	60	64	64	0	0	bounce
Purple Potion	obj166	61	64	64	0	0	bounce
Green Potion	obj167	62	64	64	0	0	bounce
Orange Potion	obj168	63	64	64	0	0	bounce
Red and Orange Potion	obj169	64	64	64	0	0	bounce
Red and Purple Potion	obj170	65	64	64	0	0	bounce
Red and Green Potion	obj171	66	64	64	0	0	bounce
Blue and Orange Potion	obj172	67	64	64	0	0	bounce
Blue and Purple Potion	obj173	68	64	64	0	0	bounce
Blue and Green Potion	obj174	69	64	64	0	0	bounce
Yellow and Orange Potion	obj175	70	64	64	0	0	bounce
Yellow and Purple Potion	obj176	71	64	64	0	0	bounce
Yellow and Green Potion	obj177	72	64	64	0	0	bounce
Orange and Purple Potion	obj178	73	64	64	0	0	bounce
Purple and Green Potion	obj179	74	64	64	0	0	bounce
Orange and Green Potion	obj180	75	64	64	0	0	bounce
Empty Potion Bottle	obj181	76	64	64	0	0	bounce
Scroll	obj182	77	64	64	0	0	bounce
Spellbook	obj190	78	64	64	0	0	bounce
Gem	obj195	79	64	64	0	0	bounce
Key	obj205	80	64	64	0	0	bounce
//  Spell Effects							
// Red							
Fire Bolt	fire02	1010	16	16	768	4000	"NoPickup,NoGravity,FlagOnIntercept,LifeTime"
explosion	null	1011	16	16	64	0	"NoPickup,NoGravity,LifeTime"
Fireball	fire04	1050	16	16	768	4000	"NoPickup,NoGravity,FlagOnIntercept,LifeTime"
explosion	spell01	1051	16	16	0	0	"NoPickup,NoGravity,FTLifeTime"
