Q Bit;Quest Note Text;Notes;Owner;
1;;Activate Area 1 teleporters 3 and 4.;Riki;0
2;;Activate Area 1 teleporters 5 and 6.;Riki;0
3;Deliver Dadeross' Letter to Elgar Fellmoon at the Merchant House in Ravenshore.;Given by Dadeross in Dagger Wound. Taken by Fellmoon in Ravenshore.;TomO;0
4;;Letter from Q Bit 3 delivered.;TomO;0
5;Kill the leader of the Regnan Pirate outpost at Dagger Wound.;Given by the alliance council at Ravenshore along with quest 31. Starts Pirate Timer.;TomO;0
6;;Pirate Leader in Dagger Wound Pirate Outpost killed (quest given at Q Bit 5). Ends pirate/lizardman war on Dagger Wound. Shuts off pirate timer.;TomO;0
7;Bring Brekish Onefang's portal crystal to Fredrick Talimere.;Brekish Onefang asks player to bring a power crystal to Fredrick Talimere;TomO;0
8;;Fredrick Talimere visited by player with crystal in their possesion.;TomO;0
9;Deliver Fellmoon's blackmail letter to Arion Hunter, leader of the wererat smugglers. Report back to Fellmoon.;Given and taken by Elgar Fellmoon (w503, area 2).;TomO;0
10;;Letter from Q Bit 9 delivered.;TomO;0
11;Report to Bastian Loudrin, the merchant guildmaster in Alvar.;Given By Elgar Fellmoon (w503, area 2). Taken by Bastian Loudrin (area 3).;TomO;0
12;;Quest 11 is done.;TomO;0
13;Form an alliance among the major factions of Jadame.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Checked as each alliance is formed. Taken when three are formed. ;TomO;0
14;Form an alliance with the Necromancers' Guild in Shadowspire.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Sandro (area 6) or when quest 15 is done.;TomO;0
15;Form an alliance with the Temple of the Sun in Murmurwoods.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Oskar Tyre (area 7), or when quest 27 is done.;TomO;0
16;Form an alliance with the Dragon hunters of Garrote Gorge.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.;TomO;0
17;Form an alliance with the Dragons of Garrote Gorge.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.;TomO;0
18;Form an alliance with the Minotaurs of Ravage Roaming.;Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when minotaurs rescued.;TomO;0
19;;Allied with Necromancers Guild. Steal Nightshade Brazier done.;TomO;0
20;;Allied with Temple of the Sun. Destroy the Skeleton Transformer done.;TomO;0
21;;Allied with Charles Quioxte's Dragon Hunters. Return Dragon Egg to Quixote done.;TomO;0
22;;Allied with Dragons. Return Dragon Egg to Dragons done.;TomO;0
23;;Allied with Minotaurs. Rescue the Minotaurs done.;TomO;0
24;;Received Reward from Elgar Fellmoon for completing quest 9.;TomO;0
25;Find a witness to the lake of fire's formation. Bring him back to the merchant guild in Alvar.;Given and taken by Bastian Lourdrin (area 3).;TomO;0
26;Find the skeleton transformer in the Shadowspire Necromancers' Guild. Destroy it and return to Oskar Tyre.;Given and taken by Oskar Tyre (area 7). Taken when Qbit 29 set.;TomO;0
27;;Skeleton Transformer Destroyed.;TomO;0
