Stat	Might	+ add	Intellect	+ add	Personality	+ add	Endurance	+ add	Accuracy	+ add	Speed	+ add	Luck	+ add
Human (0)	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
Vampire (1)	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
Dark elf (2)	11/25	1	11/25	1	11/25	1	7/20	1/2	14/30	2	11/25	1	11/25	1
Minotaur (3)	14/30	2	7/20	1/2	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
Troll (4)	14/35	2	7/15	1/2	7/15	1/2	14/35	2	11/25	1	11/25	1	11/25	1
Dragon (5)	11/30	1	11/30	1	11/30	1	11/30	1	11/30	1	11/30	1	11/30	1
Undead (6)	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
Elf (7)	7/25	1/2	14/30	2	11/25	1	7/15	1/2	14/30	2	11/25	1	11/25	1
Goblin (8)	14/30	2	7/15	1/2	7/15	1/2	11/25	1	11/25	1	14/30	2	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
n/u	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1	11/25	1
