Skill	Description	Normal	Expert	Master	GrandMaster
Staff	Staves are blunt two-handed pole weapons effective on both offense and defense. At expert rank, skill increases your armor class. Masters have a chance of stunning their opponents, and grandmasters gain a bonus to their attack damage.	Skill added to Attack Bonus	Skill added to Armor Class	Chance to stun equal to skill	Skill added to Attack Damage
Sword	The sword skill covers most types of blades longer than a knife.  Expert swordsmen gain quicker attacks. Masters may use any one-handed sword in their left hand and another weapon in their right.	Skill added to Attack Bonus	Skill reduces recovery time	Permits use of sword in left hand	Skill added to Armor Class
Dagger	While daggers don’t do the kind of damage that a sword or an axe can deliver, they are very quick—sometimes letting you get two attacks for every one of your slower opponents'.  Expert dagger fighters can wield a dagger in their left hand while using another weapon in their right.  Master dagger fighters have a chance of doing a triple damage attack.	Skill added to Attack Bonus	Permits use of dagger in left hand	Chance to cause triple damage equal to skill	Skill added to Attack Damage
Axe	While slow on the attack, axes do a lot of damage when they hit.  Expert axe fighters gain a little more speed on their attacks while master axe fighters can deliver extra damage.	Skill added to Attack Bonus	Skill reduces recovery time	Skill added to Attack Damage	Chance to halve the Armor Class of the target.
Spear	The spear skill allows use of bladed pole weapons. Expert spearmen strike for greater damage, and masters can wield spears in one hand.	Skill added to Attack Bonus	Skill added to damage.	Ability to use a spear in one hand.	Skill added to Armor Class
Bow	Bow skill covers both bow and crossbow usage.  Expert archers gain a speed increase with their weapon, while master archers can fire two arrows with every attack.	Skill added to Attack Bonus	Skill reduces recovery time	Bow fires two arrows on every attack	Skill added to damage.
Mace	Mace skill covers all kinds of blunt trauma weapons ranging from large clubs to flails.  Expert mace swingers do extra damage with their weapons. Masters and grandmasters can stun or paralyze their opponents.	Skill added to Attack Bonus	Skill added to Attack Damage	Chance to stun equal to skill	Chance to paralyze equal to skill.
Blaster	A weapon from before the Silence, their making has long since been lost.  Expert and master blasters gain double and triple accuracy with these awesome weapons.	Skill added to Attack Bonus	Skill added to Attack Bonus (double effect)	Skill added to Attack Bonus (triple effect)	Skill added to Attack Bonus (quintuple effect)
Shield	Shield skill directly improves a character’s armor class while a shield is employed.  Expert and master rankings in the shield increase this defensive bonus.	Skill added to Armor Class	Recovery penalty eliminated	Skill added to Armor Class (double effect)	Protection as per Shield spell.
Leather	Leather armor is the lightest armor a character can wear.  While leather provides less protection than chain or plate armor, it also slows your character down the least.  Leather armor skill increases the protection offered by leather armor. 	Skill added to Armor Class	Recovery penalty eliminated	Skill added to Armor Class (double effect)	Skill added to Elemental (Fire/Earth/Air/Water) Resistances.
