Name	Id	Type	Is3D
null	0	system	-
01female_wince	0	0	-
01male_wince	0	0	-
02female_wince	0	0	-
02male_wince	0	0	-
03female_wince	0	0	-
03male_wince	0	0	-
04female_wince	0	0	-
04male_wince	0	0	-
05female_wince	0	0	-
05male_wince	0	0	-
campfire	4	0	-
enter	6	system	-
wooddrclose	7	system	-
fireball	8	system	-
fountain	10	0	x
boat	18	0	x
clickin	19	system	-
clickminus	20	system	-
clickmovingselector	21	system	-
clickout	22	system	-
clickplus	23	system	-
clickskill	24	system	-
clickstart	25	system	-
pending	26	system	-
error	27	system	-
hit with arrow01l	28	system	-
metal vs leather03h	44	system	-
metal vs metal01l	45	system	-
metal vs metal03h	47	system	-
runbadlands	49	0	x
runcarpet	50	0	x
runcooledlava	51	0	x
rundesert	52	0	x
rundirt	53	0	x
rungrass	54	0	x
runice	55	0	x
runmud	56	0	x
runroad	57	0	x
runsnow	58	0	x
runstone	59	0	x
runstonehall	60	0	x
runswamp	61	0	x
runwater	62	0	x
runwaterindoor	63	0	x
runwood	64	0	x
runwoodplanking	65	0	x
selectinganewcharacter	66	system	-
shoot blaster01	67	system	-
shoot bow01	71	system	x
startmainchoice01	74	system	-
startmainchoice02	75	system	-
startmainchoice03	76	system	-
startmainchoice04	77	system	-
swing with axe01	78	system	-
swing with axe03	80	system	-
swing with blunt weapon01	81	system	-
swing with blunt weapon03	83	system	-
swing with sword01	84	system	-
swing with sword02	85	system	-
viewinganewcharacter	87	system	-
walkbadlands	88	0	x
walkcarpet	89	0	x
walkcooledlava	90	0	x
walkdesert	91	0	x
walkdirt	92	0	x
walkgrass	93	0	x
walkice	94	0	x
walkmud	95	0	x
walkroad	96	0	x
walksnow	97	0	x
walkstone	98	0	x
walkstonehall	99	0	x
walkswamp	100	0	x
walkwater	101	0	x
walkwaterindoor	102	0	x
walkwood	103	0	x
walkwoodplanking	104	0	x
wood vs metal01l	105	system	-
wood vs metal02m	106	system	-
wood vs metal03h	107	system	-
wood weapon vs leather01l	108	system	-
wood weapon vs leather02m	109	system	-
wood weapon vs leather03h	110	system	-
bricks down	117	0	-
bricks up	118	0	-
damage	119	0	-
deal	120	0	-
defeat	121	0	-
quarry up	122	0	-
quarry down	123	0	-
shuffle	124	0	-
title	125	0	-
title	125	0	-
tower up	126	0	-
typing	127	0	-
victory	128	0	-
wall up	129	0	-
luteguitar	130	system	-
panflute	131	system	-
trumpet	132	system	-
gold01	133	system	-
tip	134	swap	-
heal	135	swap	-
fizzle	136	swap	-
turnpageu	137	system	-
turnpaged	138	system	-
batlleen	139	system	-
batllest	140	system	-
openchest0101	141	swap	-
spellfail0201	142	system	-
drink	143	swap	-
eat	144	swap	-
pickup	145	swap	-
fixit	146	swap	-
mixpotion	147	swap	-
gong	148	swap	-
flute	149	swap	-
harp	150	swap	-
church	151	swap	-
chimes	152	swap	-
splash	153	swap	-
star1	154	system	-
star2	155	system	-
star4	157	system	-
eradicate	158	system	-
eleccircle	159	system	-
encounter	160	swap	-
bubbling cauldron01	161	0	-
memorycrystal	162	0	-
openbook	163	system	-
closebook	164	system	-
teleport	165	swap	-
wolfhowl	166	0	-
wood door0101	167	0	x
dr_lock401	168	0	x
wood door0201	169	0	x
dr_lock101	170	0	x
wood door0301	171	0	x
dr_lock101	172	0	x
wood door0401	173	0	x
dr_lock101	174	0	x
wood door0501	175	0	x
dr_lock401	176	0	x
stone door0101	177	0	x
stone doorclse0101	178	0	x
stone door0201	179	0	x
stone doorclse0101	180	0	x
stone door0301	181	0	x
stone doorclse0101	182	0	x
stone door0401	183	0	x
stone doorclse0101	184	0	x
stone door0501	185	0	x
stone doorclse0101	186	0	x
alarm bell 1	187	swap	-
alarm bell 2	188	swap	-
cargo elevator	189	swap	-
cargo elevatorb	190	swap	-
church bell	191	swap	-
going down	192	swap	-
going downb	193	swap	-
going up	194	swap	-
going upb	195	swap	-
tone1	196	swap	-
tone2	197	swap	-
tone3	198	swap	-
tone4	199	swap	-
alarm bell 1b	200	swap	-
alarm bell 2b	201	swap	-
humming	202	swap	-
hesgone	203	swap	-
death	204	swap	-
quest	205	system	-
whistling wind	300	swap	-
battle wince02	301	swap	-
battle wince03	302	swap	-
battle wince04	303	swap	-
battle wince05	304	swap	-
battle wince06	305	swap	-
battle wince07	306	swap	-
battle wince08	307	swap	-
boat creek loop	308	swap	-
female scream	309	swap	-
lava loop	310	swap	-
male scream	311	swap	-
switch01	312	swap	-
switch02	313	swap	-
switch03	314	swap	-
sword fight 01	315	swap	-
sword fight 02	316	swap	-
sword fight 03	317	swap	-
sword fight loop01	318	swap	-
sword fight loop02	319	swap	-
battle wince01	320	swap	-
wolf howl (distance)	321	swap	-
frog01	322	swap	-
frog02	323	swap	-
horse trot	324	swap	-
horse	325	swap	-
racoon	326	swap	-
snake rattle01	327	swap	-
snake rattle02	328	swap	-
snake rattle03	329	swap	-
snake rattle04	330	swap	-
dog	331	swap	-
bird flight01	332	swap	-
bird flight02	333	swap	-
bird01	334	swap	-
bird02	335	swap	-
bird03	336	swap	-
bird04	337	swap	-
bird05	338	swap	-
bird06	339	swap	-
bird07	340	swap	-
bird08	341	swap	-
bird09	342	swap	-
bird10	343	swap	-
bird11	344	swap	-
bird12	345	swap	-
bird13	346	swap	-
crowcaw	347	swap	-
owl01	348	swap	-
owl02	349	swap	-
owl03	350	swap	-
wood pecker pecking	351	swap	-
zap301	352	swap	-
boing0101	353	swap	-
boing02	354	swap	-
boing0201	355	swap	-
boing03	356	swap	-
boing0301	357	swap	-
buzzer01	358	swap	-
buzzer0101	359	swap	-
buzzer02	360	swap	-
buzzer0201	361	swap	-
buzzer03	362	swap	-
buzzer0301	363	swap	-
buzzer04	364	swap	-
buzzer0401	365	swap	-
click1	366	swap	-
click10	367	swap	-
click1001	368	swap	-
click101	369	swap	-
click11	370	swap	-
click1101	371	swap	-
click12	372	swap	-
click1201	373	swap	-
click13	374	swap	-
click1301	375	swap	-
click14	376	swap	-
click1401	377	swap	-
click15	378	swap	-
click1501	379	swap	-
click16	380	swap	-
click1601	381	swap	-
click17	382	swap	-
click1701	383	swap	-
click18	384	swap	-
click1801	385	swap	-
click19	386	swap	-
click1901	387	swap	-
click2	388	swap	-
click20	389	swap	-
click2001	390	swap	-
click201	391	swap	-
click21	392	swap	-
click2101	393	swap	-
click22	394	swap	-
click2201	395	swap	-
click23	396	swap	-
click2301	397	swap	-
click24	398	swap	-
click2401	399	swap	-
click3	400	swap	-
click301	401	swap	-
click4	402	swap	-
click401	403	swap	-
click5	404	swap	-
click501	405	swap	-
click6	406	swap	-
click601	407	swap	-
click7	408	swap	-
click701	409	swap	-
click8	410	swap	-
click801	411	swap	-
click9	412	swap	-
click901	413	swap	-
zap1	414	swap	-
zap101	415	swap	-
zap2	416	swap	-
zap201	417	swap	-
zap3	418	swap	-
boing01	419	swap	-
locked door02	420	swap	-
chest open	421	swap	-
door slide closed	422	swap	-
door slide open	423	swap	-
door01 close	424	swap	-
door01 open	425	swap	-
door02 close	426	swap	-
door02 open	427	swap	-
door03 close	428	swap	-
door03 open	429	swap	-
door04 close	430	swap	-
door04 open	431	swap	-
door05 close	432	swap	-
door05 open	433	swap	-
door06 close	434	swap	-
door06 open	435	swap	-
door07 close	436	swap	-
door07 open	437	swap	-
locked door01	438	swap	-
chest close	439	swap	-
raging fire loop	440	swap	-
torch loop	441	swap	-
torch loop2	442	swap	-
concrete01 foot1	443	swap	-
concrete01 foot2	444	swap	-
creaky floor foot1	445	swap	-
creaky floor foot2	446	swap	-
dirt01 foot1	447	swap	-
dirt01 foot2	448	swap	-
dirt02 foot1	449	swap	-
dirt02 foot2	450	swap	-
grass01 foot1	451	swap	-
grass01 foot2	452	swap	-
stone01 foot1	453	swap	-
stone01 foot2	454	swap	-
wood01 foot1	455	swap	-
wood01 foot2	456	swap	-
drip01	457	swap	-
drip02	458	swap	-
drip03	459	swap	-
fountain loop	460	swap	-
fountain loop2	461	swap	-
lt waves loop	462	swap	-
med waves loop	463	swap	-
rushing water loop	464	swap	-
water lapping loop	465	swap	-
water01 foot1	466	swap	-
water01 foot2	467	swap	-
water02 foot1`	468	swap	-
water02 foot2	469	swap	-
waterfall loop1	470	swap	-
waterfall loop2	471	swap	-
explosion	472	swap	-
rumble	473	swap	-
start	474	swap	-
tone01	475	swap	-
tone02	476	swap	-
tone03	477	swap	-
lizardman_peasant attk	1000	0	-
lizardman_peasant death	1001	0	-
lizardman_peasant wince	1002	0	-
lizardman_peasant aware	1003	0	-
lizardman_warrior attk	1010	0	-
lizardman_warrior death	1011	0	-
lizardman_wince attk	1012	0	-
lizardman_warrior aware	1013	0	-
coutal attk	1020	0	-
coutal death	1021	0	-
coutal wince	1022	0	-
coutal aware	1023	0	-
pirate_warrior attack	1030	0	-
pirate_warrior death	1031	0	-
pirate_warrior wince	1032	0	-
pirate_crossbow attk	1040	0	-
pirate_crossbow death	1041	0	-
pirate_crossbow wince	1042	0	-
pirate_mage attk	1050	0	-
pirate_mage death	1051	0	-
pirate_mage wince	1052	0	-
darkelf_male attk	1060	0	-
darkelf_male death	1061	0	-
darkelf_male wince	1062	0	-
darkelf_female attk	1070	0	-
darkelf_female death	1071	0	-
darkelf_female wince	1072	0	-
darkelf_warrior attk	1080	0	-
darkelf_warrior death	1081	0	-
darkelf_warrior wince	1082	0	-
ogre_peasant attack	1090	0	-
ogre_peasant death	1091	0	-
ogre_peasant wince	1092	0	-
ogre_peasant aware	1093	0	-
ogre_warrior attack	1100	0	-
ogre_warrior death	1101	0	-
ogre_warrior wince	1102	0	-
ogre_warrior aware	1103	0	-
wererat human attack	1110	0	-
wererat human death	1111	0	-
wererat human wince	1112	0	-
wererat ratman attack	1120	0	-
wererat ratman death	1121	0	-
wererat ratman wince	1122	0	-
wererat ratman aware	1123	0	-
wererat rat attack	1130	0	-
wererat rat death	1131	0	-
wererat rat wince	1132	0	-
wererat rat aware	1133	0	-
dragon_hunter attk	1140	0	-
dragon_hunter death	1141	0	-
dragon_hunter wince	1142	0	-
cleric attk	1150	0	-
cleric death	1151	0	-
cleric wincewav	1152	0	-
cleric aware	1153	0	-
darkelf_female attk	1160	0	-
darkelf_female death	1161	0	-
darkelf_female wince	1162	0	-
darkelf_female aware	1163	0	-
vampie attack	1170	0	-
vampie death	1171	0	-
vampie wince	1172	0	-
vampie aware	1173	0	-
necromancer attk	1180	0	-
necromancer death	1181	0	-
necromancer wince	1182	0	-
necromancer aware	1183	0	-
troll warrior attack	1190	0	-
troll warrior death	1191	0	-
troll warrior wince	1192	0	-
troll warrior aware	1193	0	-
troll peasant attack	1200	0	-
troll peasant death	1201	0	-
troll peasant wince	1202	0	-
troll peasant aware	1203	0	-
minotaur attk	1210	0	-
minotaur death	1211	0	-
minotaur wince	1212	0	-
minotaur aware	1213	0	-
minotaur_peasant attk	1220	0	-
minotaur_peasant death	1221	0	-
minotaur_peasant wince	1222	0	-
minotaur_peasant aware	1223	0	-
crystal dragon attk	1230	0	-
crystal dragon death	1231	0	-
crystal dragon wince	1232	0	-
crystal dragon aware	1233	0	-
fire_elemental attk	1240	0	-
fire_elemental death	1241	0	-
fire_elemental wince	1242	0	-
fire_elemental aware	1243	0	-
water elemental attack	1250	0	-
water elemental death	1251	0	-
water elemental wince	1252	0	-
water elemental aware	1253	0	-
earth_elemental attk	1260	0	-
earth_elemental death	1261	0	-
earth_elemental wince	1262	0	-
earth_elemental aware	1263	0	-
airelemental attk	1270	0	-
airelemental death	1271	0	-
airelemental wince	1272	0	-
airelemental aware	1273	0	-
dire_wolf attk	1280	0	-
dire_wolf death	1281	0	-
dire_wolf wince	1282	0	-
dire_wolf aware	1283	0	-
crystal dragon attk	1290	0	-
crystal dragon death	1291	0	-
crystal dragon wince	1292	0	-
crystal dragon aware	1293	0	-
cyclops attk	1300	0	-
cyclops death	1301	0	-
cyclops wince	1302	0	-
cyclops aware	1303	0	-
serpentman attack	1310	0	-
serpentman death	1311	0	-
serpentman wince	1312	0	-
serpentman aware	1313	0	-
willowisp attack	1320	0	-
willowisp death	1321	0	-
willowisp wince	1322	0	-
willowisp aware	1323	0	-
centaur death	1331	0	-
centaur wince	1332	0	-
centaur attk	1333	0	-
efreet attk	1340	0	-
efreet death	1341	0	-
efreet wince	1342	0	-
efreet aware	1343	0	-
ogre_mage attack	1350	0	-
ogre_mage death	1351	0	-
ogre_mage wince	1352	0	-
ogre_mage aware	1353	0	-
unicorn attack	1360	0	-
unicorn death	1361	0	-
unicorn wince	1362	0	-
unicorn aware	1363	0	-
crystal dragon attk	1370	0	-
crystal dragon death	1371	0	-
crystal dragon wince	1372	0	-
