[0: 1]: AnimTime: 8, AnimLength: 8, Flags: 4
[1: 1]: AnimTime: 8, AnimLength: 8, Flags: 4
[2: 2]: AnimTime: 8, AnimLength: 8, Flags: 4
[3: 3]: AnimTime: 8, AnimLength: 8, Flags: 4
[4: 4]: AnimTime: 8, AnimLength: 8, Flags: 4
[5: 5]: AnimTime: 8, AnimLength: 8, Flags: 4
[6: 6]: AnimTime: 8, AnimLength: 8, Flags: 4
[7: 7]: AnimTime: 8, AnimLength: 8, Flags: 4
[8: 8]: AnimTime: 8, AnimLength: 8, Flags: 4
[9: 9]: AnimTime: 8, AnimLength: 8, Flags: 4
[10: 10]: AnimTime: 8, AnimLength: 8, Flags: 4
[11: 11]: AnimTime: 8, AnimLength: 8, Flags: 4
[12: 12]: AnimTime: 8, AnimLength: 8, Flags: 4
[13: 13]: AnimTime: 2, AnimLength: 2, Flags: 4
[14: 14]: AnimTime: 8, AnimLength: 8, Flags: 4
[15: 15]: AnimTime: 8, AnimLength: 8, Flags: 4
[16: 16]: AnimTime: 8, AnimLength: 8, Flags: 4
[17: 17]: AnimTime: 8, AnimLength: 8, Flags: 4
[18: 18]: AnimTime: 8, AnimLength: 8, Flags: 4
[19: 19]: AnimTime: 8, AnimLength: 8, Flags: 4
[20: 20]: AnimTime: 8, AnimLength: 8, Flags: 4
[21: 21]: AnimTime: 2, AnimLength: 2, Flags: 4
[22: 22]: AnimTime: 2, AnimLength: 2, Flags: 4
[23: 23]: AnimTime: 2, AnimLength: 2, Flags: 4
[24: 24]: AnimTime: 2, AnimLength: 2, Flags: 4
[25: 27]: AnimTime: 2, AnimLength: 18, Flags: 5
[0: 26]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 25]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 26]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 27]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 28]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 29]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 28]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 27]: AnimTime: 2, AnimLength: 0, Flags: 0
[27: 32]: AnimTime: 2, AnimLength: 12, Flags: 5
[0: 33]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 32]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 31]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 30]: AnimTime: 2, AnimLength: 0, Flags: 1
[0: 31]: AnimTime: 2, AnimLength: 0, Flags: 0
[29: 21]: AnimTime: 8, AnimLength: 8, Flags: 4
[30: 21]: AnimTime: 8, AnimLength: 8, Flags: 4
[31: 21]: AnimTime: 8, AnimLength: 8, Flags: 4
[33: 1]: AnimTime: 4, AnimLength: 24, Flags: 5
[0: 34]: AnimTime: 4, AnimLength: 0, Flags: 1
[0: 35]: AnimTime: 4, AnimLength: 0, Flags: 1
[0: 36]: AnimTime: 4, AnimLength: 0, Flags: 1
[0: 35]: AnimTime: 4, AnimLength: 0, Flags: 1
[0: 34]: AnimTime: 4, AnimLength: 0, Flags: 0
[34: 37]: AnimTime: 8, AnimLength: 8, Flags: 4
[35: 38]: AnimTime: 8, AnimLength: 8, Flags: 4
[36: 39]: AnimTime: 8, AnimLength: 8, Flags: 4
[37: 40]: AnimTime: 16, AnimLength: 16, Flags: 4
[38: 41]: AnimTime: 16, AnimLength: 16, Flags: 4
[39: 42]: AnimTime: 16, AnimLength: 16, Flags: 4
[40: 43]: AnimTime: 16, AnimLength: 16, Flags: 4
[41: 44]: AnimTime: 16, AnimLength: 16, Flags: 4
[42: 45]: AnimTime: 16, AnimLength: 16, Flags: 4
[43: 46]: AnimTime: 16, AnimLength: 16, Flags: 4
[44: 47]: AnimTime: 16, AnimLength: 16, Flags: 4
[45: 48]: AnimTime: 16, AnimLength: 16, Flags: 4
[46: 49]: AnimTime: 8, AnimLength: 8, Flags: 4
[47: 50]: AnimTime: 16, AnimLength: 16, Flags: 4
[48: 51]: AnimTime: 16, AnimLength: 16, Flags: 4
[49: 52]: AnimTime: 16, AnimLength: 16, Flags: 4
[50: 53]: AnimTime: 16, AnimLength: 16, Flags: 4
[51: 54]: AnimTime: 16, AnimLength: 16, Flags: 4
[52: 55]: AnimTime: 16, AnimLength: 16, Flags: 4
[53: 56]: AnimTime: 8, AnimLength: 8, Flags: 4
[54: 21]: AnimTime: 8, AnimLength: 8, Flags: 4
[55: 22]: AnimTime: 8, AnimLength: 8, Flags: 4
[56: 23]: AnimTime: 8, AnimLength: 8, Flags: 4
[57: 24]: AnimTime: 8, AnimLength: 8, Flags: 4
[58: 5]: AnimTime: 8, AnimLength: 24, Flags: 5
[0: 19]: AnimTime: 8, AnimLength: 0, Flags: 1
[0: 18]: AnimTime: 8, AnimLength: 0, Flags: 0
